image_id,pixel_1,pixel_2,pixel_3,pixel_4,pixel_5,pixel_6,pixel_7,pixel_8,pixel_9,pixel_10,pixel_11,pixel_12,pixel_13,pixel_14,pixel_15,pixel_16,pixel_17,pixel_18,pixel_19,pixel_20,pixel_21,pixel_22,pixel_23,pixel_24,pixel_25,label
1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.1,0.2,0.3,0.4,0.5,0.6,0.7,cat
2,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,dog
3,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,cat
4,0.5,0.4,0.3,0.2,0.1,0.5,0.4,0.3,0.2,0.1,0.5,0.4,0.3,0.2,0.1,0.5,0.4,0.3,0.2,0.1,0.5,0.4,0.3,0.2,0.1,dog
5,0.7,0.6,0.5,0.4,0.3,0.7,0.6,0.5,0.4,0.3,0.7,0.6,0.5,0.4,0.3,0.7,0.6,0.5,0.4,0.3,0.7,0.6,0.5,0.4,0.3,cat
6,0.2,0.3,0.4,0.5,0.6,0.2,0.3,0.4,0.5,0.6,0.2,0.3,0.4,0.5,0.6,0.2,0.3,0.4,0.5,0.6,0.2,0.3,0.4,0.5,0.6,dog
7,0.8,0.7,0.6,0.5,0.4,0.8,0.7,0.6,0.5,0.4,0.8,0.7,0.6,0.5,0.4,0.8,0.7,0.6,0.5,0.4,0.8,0.7,0.6,0.5,0.4,cat
8,0.4,0.5,0.6,0.7,0.8,0.4,0.5,0.6,0.7,0.8,0.4,0.5,0.6,0.7,0.8,0.4,0.5,0.6,0.7,0.8,0.4,0.5,0.6,0.7,0.8,dog
9,0.6,0.7,0.8,0.9,0.1,0.6,0.7,0.8,0.9,0.1,0.6,0.7,0.8,0.9,0.1,0.6,0.7,0.8,0.9,0.1,0.6,0.7,0.8,0.9,0.1,cat
10,0.1,0.2,0.3,0.4,0.5,0.1,0.2,0.3,0.4,0.5,0.1,0.2,0.3,0.4,0.5,0.1,0.2,0.3,0.4,0.5,0.1,0.2,0.3,0.4,0.5,dog
